"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1960",25073.26,
"AUS","GDP","TOT","MLN_USD","A","1961",25364.881,
"AUS","GDP","TOT","MLN_USD","A","1962",27955.357,
"AUS","GDP","TOT","MLN_USD","A","1963",30432.979,
"AUS","GDP","TOT","MLN_USD","A","1964",32745.289,
"AUS","GDP","TOT","MLN_USD","A","1965",34542.337,
"AUS","GDP","TOT","MLN_USD","A","1966",38344.554,
"AUS","GDP","TOT","MLN_USD","A","1967",41068.684,
"AUS","GDP","TOT","MLN_USD","A","1968",46560.927,
"AUS","GDP","TOT","MLN_USD","A","1969",52215.402,
"AUS","GDP","TOT","MLN_USD","A","1970",58858.348,
"AUS","GDP","TOT","MLN_USD","A","1971",64135.621,
"AUS","GDP","TOT","MLN_USD","A","1972",69807.498,
"AUS","GDP","TOT","MLN_USD","A","1973",78843.21,
"AUS","GDP","TOT","MLN_USD","A","1974",86323.114,
"AUS","GDP","TOT","MLN_USD","A","1975",96857.536,
"AUS","GDP","TOT","MLN_USD","A","1976",104288.925,
"AUS","GDP","TOT","MLN_USD","A","1977",110276.099,
"AUS","GDP","TOT","MLN_USD","A","1978",123342.206,
"AUS","GDP","TOT","MLN_USD","A","1979",137980.996,
"AUS","GDP","TOT","MLN_USD","A","1980",155037.413,
"AUS","GDP","TOT","MLN_USD","A","1981",178292.325,
"AUS","GDP","TOT","MLN_USD","A","1982",181931.974,
"AUS","GDP","TOT","MLN_USD","A","1983",196533.518,
"AUS","GDP","TOT","MLN_USD","A","1984",211772.911,
"AUS","GDP","TOT","MLN_USD","A","1985",228924.227,
"AUS","GDP","TOT","MLN_USD","A","1986",240015.947,
"AUS","GDP","TOT","MLN_USD","A","1987",260935.759,
"AUS","GDP","TOT","MLN_USD","A","1988",282917.818,
"AUS","GDP","TOT","MLN_USD","A","1989",299621.594,
"AUS","GDP","TOT","MLN_USD","A","1990",304183.457,
"AUS","GDP","TOT","MLN_USD","A","1991",313970.385,
"AUS","GDP","TOT","MLN_USD","A","1992",334473.269,
"AUS","GDP","TOT","MLN_USD","A","1993",355559.8,
"AUS","GDP","TOT","MLN_USD","A","1994",380993.407,
"AUS","GDP","TOT","MLN_USD","A","1995",403410.089,
"AUS","GDP","TOT","MLN_USD","A","1996",424062.042,
"AUS","GDP","TOT","MLN_USD","A","1997",450299.854,
"AUS","GDP","TOT","MLN_USD","A","1998",477686.538,
"AUS","GDP","TOT","MLN_USD","A","1999",510213.964,
"AUS","GDP","TOT","MLN_USD","A","2000",538603.652,
"AUS","GDP","TOT","MLN_USD","A","2001",569787.095,
"AUS","GDP","TOT","MLN_USD","A","2002",600460.974,
"AUS","GDP","TOT","MLN_USD","A","2003",638022.66,
"AUS","GDP","TOT","MLN_USD","A","2004",676954.659,
"AUS","GDP","TOT","MLN_USD","A","2005",719149.954,
"AUS","GDP","TOT","MLN_USD","A","2006",774966.901,
"AUS","GDP","TOT","MLN_USD","A","2007",825988.747,
"AUS","GDP","TOT","MLN_USD","A","2008",852201.51,
"AUS","GDP","TOT","MLN_USD","A","2009",903166.382,
"AUS","GDP","TOT","MLN_USD","A","2010",943179.751,
"AUS","GDP","TOT","MLN_USD","A","2011",992556.359,
"AUS","GDP","TOT","MLN_USD","A","2012",997622.794,
"AUS","GDP","TOT","MLN_USD","A","2013",1104642.029,
"AUS","GDP","TOT","MLN_USD","A","2014",1117534.426,
"AUS","GDP","TOT","MLN_USD","A","2015",1124892.295,
"AUS","GDP","TOT","MLN_USD","A","2016",1213189.412,
"AUS","GDP","TOT","MLN_USD","A","2017",1247296.036,
"AUS","GDP","TOT","MLN_USD","A","2018",1323601.791,
"AUS","GDP","TOT","MLN_USD","A","2019",1335998.074,
"AUS","GDP","TOT","MLN_USD","A","2020",1429458.63,
"AUT","GDP","TOT","MLN_USD","A","1970",28577.921,"E"
"AUT","GDP","TOT","MLN_USD","A","1971",31561.883,"E"
"AUT","GDP","TOT","MLN_USD","A","1972",34970.238,"E"
"AUT","GDP","TOT","MLN_USD","A","1973",38689.323,"E"
"AUT","GDP","TOT","MLN_USD","A","1974",43833.971,"E"
"AUT","GDP","TOT","MLN_USD","A","1975",47720.619,"E"
"AUT","GDP","TOT","MLN_USD","A","1976",52651.247,"E"
"AUT","GDP","TOT","MLN_USD","A","1977",58763.524,"E"
"AUT","GDP","TOT","MLN_USD","A","1978",62764.355,"E"
"AUT","GDP","TOT","MLN_USD","A","1979",71612.672,"E"
"AUT","GDP","TOT","MLN_USD","A","1980",79433.469,"E"
"AUT","GDP","TOT","MLN_USD","A","1981",86824.116,"E"
"AUT","GDP","TOT","MLN_USD","A","1982",94042.484,"E"
"AUT","GDP","TOT","MLN_USD","A","1983",100631.405,"E"
"AUT","GDP","TOT","MLN_USD","A","1984",104315.35,"E"
"AUT","GDP","TOT","MLN_USD","A","1985",110303.201,"E"
"AUT","GDP","TOT","MLN_USD","A","1986",115114.232,"E"
"AUT","GDP","TOT","MLN_USD","A","1987",119561.715,"E"
"AUT","GDP","TOT","MLN_USD","A","1988",127858.773,"E"
"AUT","GDP","TOT","MLN_USD","A","1989",138036.086,"E"
"AUT","GDP","TOT","MLN_USD","A","1990",149426.332,"E"
"AUT","GDP","TOT","MLN_USD","A","1991",159796.186,"E"
"AUT","GDP","TOT","MLN_USD","A","1992",166859.41,"E"
"AUT","GDP","TOT","MLN_USD","A","1993",171714.41,"E"
"AUT","GDP","TOT","MLN_USD","A","1994",179594.108,"E"
"AUT","GDP","TOT","MLN_USD","A","1995",188252.033,
"AUT","GDP","TOT","MLN_USD","A","1996",195424.463,
"AUT","GDP","TOT","MLN_USD","A","1997",202601.148,
"AUT","GDP","TOT","MLN_USD","A","1998",212781.09,
"AUT","GDP","TOT","MLN_USD","A","1999",220639.939,
"AUT","GDP","TOT","MLN_USD","A","2000",235347.82,
"AUT","GDP","TOT","MLN_USD","A","2001",238878.519,
"AUT","GDP","TOT","MLN_USD","A","2002",251984.784,
"AUT","GDP","TOT","MLN_USD","A","2003",261057.076,
"AUT","GDP","TOT","MLN_USD","A","2004",275998.472,
"AUT","GDP","TOT","MLN_USD","A","2005",288086.722,
"AUT","GDP","TOT","MLN_USD","A","2006",311414.93,
"AUT","GDP","TOT","MLN_USD","A","2007",327096.286,
"AUT","GDP","TOT","MLN_USD","A","2008",343812.976,
"AUT","GDP","TOT","MLN_USD","A","2009",341392.998,
"AUT","GDP","TOT","MLN_USD","A","2010",351341.77,
"AUT","GDP","TOT","MLN_USD","A","2011",373031.477,
"AUT","GDP","TOT","MLN_USD","A","2012",391635.176,
"AUT","GDP","TOT","MLN_USD","A","2013",406370.245,
"AUT","GDP","TOT","MLN_USD","A","2014",417059.519,
"AUT","GDP","TOT","MLN_USD","A","2015",430975.924,
"AUT","GDP","TOT","MLN_USD","A","2016",460282.647,
"AUT","GDP","TOT","MLN_USD","A","2017",476590.588,
"AUT","GDP","TOT","MLN_USD","A","2018",503557.209,
"AUT","GDP","TOT","MLN_USD","A","2019",515713.228,
"AUT","GDP","TOT","MLN_USD","A","2020",496544.035,
"BEL","GDP","TOT","MLN_USD","A","1970",37289.172,"E"
"BEL","GDP","TOT","MLN_USD","A","1971",40649.836,"E"
"BEL","GDP","TOT","MLN_USD","A","1972",44635.79,"E"
"BEL","GDP","TOT","MLN_USD","A","1973",49964.28,"E"
"BEL","GDP","TOT","MLN_USD","A","1974",56747.551,"E"
