"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NNI","TOT","MLN_USD","A","1960",20766.223,
"AUS","NNI","TOT","MLN_USD","A","1961",21084.406,
"AUS","NNI","TOT","MLN_USD","A","1962",23148.6,
"AUS","NNI","TOT","MLN_USD","A","1963",25349.36,
"AUS","NNI","TOT","MLN_USD","A","1964",27194.331,
"AUS","NNI","TOT","MLN_USD","A","1965",28534.789,
"AUS","NNI","TOT","MLN_USD","A","1966",31637.36,
"AUS","NNI","TOT","MLN_USD","A","1967",33633.218,
"AUS","NNI","TOT","MLN_USD","A","1968",38281.249,
"AUS","NNI","TOT","MLN_USD","A","1969",42563.121,
"AUS","NNI","TOT","MLN_USD","A","1970",48357.455,
"AUS","NNI","TOT","MLN_USD","A","1971",53040.429,
"AUS","NNI","TOT","MLN_USD","A","1972",58556.991,
"AUS","NNI","TOT","MLN_USD","A","1973",66062.237,
"AUS","NNI","TOT","MLN_USD","A","1974",73391.057,
"AUS","NNI","TOT","MLN_USD","A","1975",81989.172,
"AUS","NNI","TOT","MLN_USD","A","1976",87924.29,
"AUS","NNI","TOT","MLN_USD","A","1977",91918.434,
"AUS","NNI","TOT","MLN_USD","A","1978",103226.635,
"AUS","NNI","TOT","MLN_USD","A","1979",115413.857,
"AUS","NNI","TOT","MLN_USD","A","1980",130726.415,
"AUS","NNI","TOT","MLN_USD","A","1981",147593.333,
"AUS","NNI","TOT","MLN_USD","A","1982",151187.668,
"AUS","NNI","TOT","MLN_USD","A","1983",162963.049,
"AUS","NNI","TOT","MLN_USD","A","1984",175460.604,
"AUS","NNI","TOT","MLN_USD","A","1985",187509.343,
"AUS","NNI","TOT","MLN_USD","A","1986",194476.799,
"AUS","NNI","TOT","MLN_USD","A","1987",212187.388,
"AUS","NNI","TOT","MLN_USD","A","1988",228545.985,
"AUS","NNI","TOT","MLN_USD","A","1989",239706.014,
"AUS","NNI","TOT","MLN_USD","A","1990",240342.241,
"AUS","NNI","TOT","MLN_USD","A","1991",247900.562,
"AUS","NNI","TOT","MLN_USD","A","1992",267719.115,
"AUS","NNI","TOT","MLN_USD","A","1993",285921.992,
"AUS","NNI","TOT","MLN_USD","A","1994",303133.763,
"AUS","NNI","TOT","MLN_USD","A","1995",322358.876,
"AUS","NNI","TOT","MLN_USD","A","1996",341454.652,
"AUS","NNI","TOT","MLN_USD","A","1997",362302.642,
"AUS","NNI","TOT","MLN_USD","A","1998",384030.053,
"AUS","NNI","TOT","MLN_USD","A","1999",411848.568,
"AUS","NNI","TOT","MLN_USD","A","2000",433318.279,
"AUS","NNI","TOT","MLN_USD","A","2001",459756.158,
"AUS","NNI","TOT","MLN_USD","A","2002",484733.197,
