"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1978",14.4202463493047,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1979",18.1281509467225,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1980",19.1755175958103,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1981",19.5011234243497,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1982",18.7591805726455,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1983",25.211607875543,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1984",31.0161178387904,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1985",30.7679803339708,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1986",27.6100025769749,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1987",28.0074357009055,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1988",27.7700453647751,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1989",24.7619909894129,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1990",21.0844733242134,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1991",21.0381988431619,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1992",19.1909306287397,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1993",17.7599856457642,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1994",17.5086354062101,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1995",18.3492083591812,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1996",19.1744297539166,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1997",18.9970419797928,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1998",18.6818679338106,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1999",18.0986549634801,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2000",18.2963491453797,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2001",19.1718774087408,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2002",18.8292084187237,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2003",18.6244914665793,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2004",17.6976231581224,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2005",17.7267808812835,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2006",18.1772031706304,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2007",18.5275432707979,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2008",18.7158494672707,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2009",20.5786507933469,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2010",19.1831716581248,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2011",19.3203990162307,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2012",19.6043992625637,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2013",19.8160717067764,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2014",19.7230251550357,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2015",19.8360532778981,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2016",19.2578668492131,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2017",19.890177839515,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2018",19.3563397422267,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1994",18.4271754304328,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1995",29.1442250149611,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1996",24.8637939574047,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1997",27.4987053340238,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1998",30.293971101146,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1999",29.1735995562951,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2000",25.8375724529264,
