"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXINCOME","TOT","PC_GDP","A","1965",7.101,
"AUS","TAXINCOME","TOT","PC_GDP","A","1966",7.078,
"AUS","TAXINCOME","TOT","PC_GDP","A","1967",7.457,
"AUS","TAXINCOME","TOT","PC_GDP","A","1968",7.268,
"AUS","TAXINCOME","TOT","PC_GDP","A","1969",7.747,
"AUS","TAXINCOME","TOT","PC_GDP","A","1970",7.876,
"AUS","TAXINCOME","TOT","PC_GDP","A","1971",8.464,
"AUS","TAXINCOME","TOT","PC_GDP","A","1972",8.21,
"AUS","TAXINCOME","TOT","PC_GDP","A","1973",9.1,
"AUS","TAXINCOME","TOT","PC_GDP","A","1974",10.834,
"AUS","TAXINCOME","TOT","PC_GDP","A","1975",11.069,
"AUS","TAXINCOME","TOT","PC_GDP","A","1976",11.499,
"AUS","TAXINCOME","TOT","PC_GDP","A","1977",11.55,
"AUS","TAXINCOME","TOT","PC_GDP","A","1978",10.786,
"AUS","TAXINCOME","TOT","PC_GDP","A","1979",11.183,
"AUS","TAXINCOME","TOT","PC_GDP","A","1980",11.523,
"AUS","TAXINCOME","TOT","PC_GDP","A","1981",12.075,
"AUS","TAXINCOME","TOT","PC_GDP","A","1982",12.129,
"AUS","TAXINCOME","TOT","PC_GDP","A","1983",11.562,
"AUS","TAXINCOME","TOT","PC_GDP","A","1984",12.451,
"AUS","TAXINCOME","TOT","PC_GDP","A","1985",12.555,
"AUS","TAXINCOME","TOT","PC_GDP","A","1986",13.3,
"AUS","TAXINCOME","TOT","PC_GDP","A","1987",12.909,
"AUS","TAXINCOME","TOT","PC_GDP","A","1988",12.905,
"AUS","TAXINCOME","TOT","PC_GDP","A","1989",12.351,
"AUS","TAXINCOME","TOT","PC_GDP","A","1990",12.078,
"AUS","TAXINCOME","TOT","PC_GDP","A","1991",11.085,
"AUS","TAXINCOME","TOT","PC_GDP","A","1992",10.719,
"AUS","TAXINCOME","TOT","PC_GDP","A","1993",11.01,
"AUS","TAXINCOME","TOT","PC_GDP","A","1994",11.047,
"AUS","TAXINCOME","TOT","PC_GDP","A","1995",11.486,
"AUS","TAXINCOME","TOT","PC_GDP","A","1996",11.936,
"AUS","TAXINCOME","TOT","PC_GDP","A","1997",12.036,
"AUS","TAXINCOME","TOT","PC_GDP","A","1998",13.07,
"AUS","TAXINCOME","TOT","PC_GDP","A","1999",13.234,
"AUS","TAXINCOME","TOT","PC_GDP","A","2000",11.487,
"AUS","TAXINCOME","TOT","PC_GDP","A","2001",11.914,
"AUS","TAXINCOME","TOT","PC_GDP","A","2002",11.782,
"AUS","TAXINCOME","TOT","PC_GDP","A","2003",11.907,
"AUS","TAXINCOME","TOT","PC_GDP","A","2004",12.149,
"AUS","TAXINCOME","TOT","PC_GDP","A","2005",11.866,
"AUS","TAXINCOME","TOT","PC_GDP","A","2006",10.958,
"AUS","TAXINCOME","TOT","PC_GDP","A","2007",10.837,
"AUS","TAXINCOME","TOT","PC_GDP","A","2008",10.102,
"AUS","TAXINCOME","TOT","PC_GDP","A","2009",9.579,
"AUS","TAXINCOME","TOT","PC_GDP","A","2010",9.753,
"AUS","TAXINCOME","TOT","PC_GDP","A","2011",10.196,
"AUS","TAXINCOME","TOT","PC_GDP","A","2012",10.571,
"AUS","TAXINCOME","TOT","PC_GDP","A","2013",10.633,
"AUS","TAXINCOME","TOT","PC_GDP","A","2014",11.264,
"AUS","TAXINCOME","TOT","PC_GDP","A","2015",11.544,
"AUS","TAXINCOME","TOT","PC_GDP","A","2016",11.262,
"AUS","TAXINCOME","TOT","PC_GDP","A","2017",11.493,
"AUS","TAXINCOME","TOT","PC_GDP","A","2018",11.75,
"AUS","TAXINCOME","TOT","PC_GDP","A","2019",11.629,
"AUT","TAXINCOME","TOT","PC_GDP","A","1965",6.693,
"AUT","TAXINCOME","TOT","PC_GDP","A","1966",7.091,
"AUT","TAXINCOME","TOT","PC_GDP","A","1967",7.195,
"AUT","TAXINCOME","TOT","PC_GDP","A","1968",6.647,
"AUT","TAXINCOME","TOT","PC_GDP","A","1969",6.885,
"AUT","TAXINCOME","TOT","PC_GDP","A","1970",6.938,
"AUT","TAXINCOME","TOT","PC_GDP","A","1971",7.212,
"AUT","TAXINCOME","TOT","PC_GDP","A","1972",7.702,
"AUT","TAXINCOME","TOT","PC_GDP","A","1973",7.898,
"AUT","TAXINCOME","TOT","PC_GDP","A","1974",8.447,
"AUT","TAXINCOME","TOT","PC_GDP","A","1975",7.863,
"AUT","TAXINCOME","TOT","PC_GDP","A","1976",7.852,
"AUT","TAXINCOME","TOT","PC_GDP","A","1977",8.062,
"AUT","TAXINCOME","TOT","PC_GDP","A","1978",9.105,
"AUT","TAXINCOME","TOT","PC_GDP","A","1979",8.775,
"AUT","TAXINCOME","TOT","PC_GDP","A","1980",8.942,
"AUT","TAXINCOME","TOT","PC_GDP","A","1981",9.383,
"AUT","TAXINCOME","TOT","PC_GDP","A","1982",9.037,
"AUT","TAXINCOME","TOT","PC_GDP","A","1983",8.702,
"AUT","TAXINCOME","TOT","PC_GDP","A","1984",8.942,
"AUT","TAXINCOME","TOT","PC_GDP","A","1985",9.27,
"AUT","TAXINCOME","TOT","PC_GDP","A","1986",9.43,
"AUT","TAXINCOME","TOT","PC_GDP","A","1987",9.07,
"AUT","TAXINCOME","TOT","PC_GDP","A","1988",8.951,
"AUT","TAXINCOME","TOT","PC_GDP","A","1989",7.694,
"AUT","TAXINCOME","TOT","PC_GDP","A","1990",8.234,
"AUT","TAXINCOME","TOT","PC_GDP","A","1991",8.635,
"AUT","TAXINCOME","TOT","PC_GDP","A","1992",8.876,
"AUT","TAXINCOME","TOT","PC_GDP","A","1993",9.011,
"AUT","TAXINCOME","TOT","PC_GDP","A","1994",8.189,
"AUT","TAXINCOME","TOT","PC_GDP","A","1995",8.566,
"AUT","TAXINCOME","TOT","PC_GDP","A","1996",9.023,
"AUT","TAXINCOME","TOT","PC_GDP","A","1997",9.53,
"AUT","TAXINCOME","TOT","PC_GDP","A","1998",9.633,
"AUT","TAXINCOME","TOT","PC_GDP","A","1999",9.723,
"AUT","TAXINCOME","TOT","PC_GDP","A","2000",9.311,
"AUT","TAXINCOME","TOT","PC_GDP","A","2001",9.916,
"AUT","TAXINCOME","TOT","PC_GDP","A","2002",9.646,
"AUT","TAXINCOME","TOT","PC_GDP","A","2003",9.644,
"AUT","TAXINCOME","TOT","PC_GDP","A","2004",9.4,
"AUT","TAXINCOME","TOT","PC_GDP","A","2005",8.959,
"AUT","TAXINCOME","TOT","PC_GDP","A","2006",8.963,
"AUT","TAXINCOME","TOT","PC_GDP","A","2007",9.064,
"AUT","TAXINCOME","TOT","PC_GDP","A","2008",9.534,
"AUT","TAXINCOME","TOT","PC_GDP","A","2009",9.079,
"AUT","TAXINCOME","TOT","PC_GDP","A","2010",9.158,
"AUT","TAXINCOME","TOT","PC_GDP","A","2011",9.205,
"AUT","TAXINCOME","TOT","PC_GDP","A","2012",9.505,
"AUT","TAXINCOME","TOT","PC_GDP","A","2013",9.717,
"AUT","TAXINCOME","TOT","PC_GDP","A","2014",10.034,
"AUT","TAXINCOME","TOT","PC_GDP","A","2015",10.411,
"AUT","TAXINCOME","TOT","PC_GDP","A","2016",9.018,
"AUT","TAXINCOME","TOT","PC_GDP","A","2017",9.076,
"AUT","TAXINCOME","TOT","PC_GDP","A","2018",9.392,
"AUT","TAXINCOME","TOT","PC_GDP","A","2019",9.618,
"AUT","TAXINCOME","TOT","PC_GDP","A","2020",9.258,
"BEL","TAXINCOME","TOT","PC_GDP","A","1965",6.316,
"BEL","TAXINCOME","TOT","PC_GDP","A","1966",7.06,
"BEL","TAXINCOME","TOT","PC_GDP","A","1967",7.545,
"BEL","TAXINCOME","TOT","PC_GDP","A","1968",8.073,
"BEL","TAXINCOME","TOT","PC_GDP","A","1969",8.274,
"BEL","TAXINCOME","TOT","PC_GDP","A","1970",8.379,
"BEL","TAXINCOME","TOT","PC_GDP","A","1971",8.877,
"BEL","TAXINCOME","TOT","PC_GDP","A","1972",9.474,
"BEL","TAXINCOME","TOT","PC_GDP","A","1973",10.074,
"BEL","TAXINCOME","TOT","PC_GDP","A","1974",10.949,
"BEL","TAXINCOME","TOT","PC_GDP","A","1975",12.698,
"BEL","TAXINCOME","TOT","PC_GDP","A","1976",12.609,
"BEL","TAXINCOME","TOT","PC_GDP","A","1977",14.063,
"BEL","TAXINCOME","TOT","PC_GDP","A","1978",15.038,
"BEL","TAXINCOME","TOT","PC_GDP","A","1979",15.433,
"BEL","TAXINCOME","TOT","PC_GDP","A","1980",14.821,
"BEL","TAXINCOME","TOT","PC_GDP","A","1981",14.971,
"BEL","TAXINCOME","TOT","PC_GDP","A","1982",15.474,
"BEL","TAXINCOME","TOT","PC_GDP","A","1983",15.514,
"BEL","TAXINCOME","TOT","PC_GDP","A","1984",15.938,
"BEL","TAXINCOME","TOT","PC_GDP","A","1985",15.577,
"BEL","TAXINCOME","TOT","PC_GDP","A","1986",15.061,
"BEL","TAXINCOME","TOT","PC_GDP","A","1987",14.865,
"BEL","TAXINCOME","TOT","PC_GDP","A","1988",14.19,
"BEL","TAXINCOME","TOT","PC_GDP","A","1989",12.73,
"BEL","TAXINCOME","TOT","PC_GDP","A","1990",13.25,
"BEL","TAXINCOME","TOT","PC_GDP","A","1991",13.031,
"BEL","TAXINCOME","TOT","PC_GDP","A","1992",12.938,
"BEL","TAXINCOME","TOT","PC_GDP","A","1993",13.524,
"BEL","TAXINCOME","TOT","PC_GDP","A","1994",13.592,
"BEL","TAXINCOME","TOT","PC_GDP","A","1995",13.997,
"BEL","TAXINCOME","TOT","PC_GDP","A","1996",13.694,
"BEL","TAXINCOME","TOT","PC_GDP","A","1997",13.927,
"BEL","TAXINCOME","TOT","PC_GDP","A","1998",13.945,
