"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POP","TOT","MLN_PER","A","1950",8.1787,
"AUS","POP","TOT","MLN_PER","A","1951",8.4217,
"AUS","POP","TOT","MLN_PER","A","1952",8.6365,
"AUS","POP","TOT","MLN_PER","A","1953",8.8153,
"AUS","POP","TOT","MLN_PER","A","1954",8.9865,
"AUS","POP","TOT","MLN_PER","A","1955",9.1997,
"AUS","POP","TOT","MLN_PER","A","1956",9.4255,
"AUS","POP","TOT","MLN_PER","A","1957",9.6402,
"AUS","POP","TOT","MLN_PER","A","1958",9.8424,
"AUS","POP","TOT","MLN_PER","A","1959",10.0564,
"AUS","POP","TOT","MLN_PER","A","1960",10.275,
"AUS","POP","TOT","MLN_PER","A","1961",10.5082,
"AUS","POP","TOT","MLN_PER","A","1962",10.7005,
"AUS","POP","TOT","MLN_PER","A","1963",10.9069,
"AUS","POP","TOT","MLN_PER","A","1964",11.1216,
"AUS","POP","TOT","MLN_PER","A","1965",11.3409,
"AUS","POP","TOT","MLN_PER","A","1966",11.599498,
"AUS","POP","TOT","MLN_PER","A","1967",11.799078,
"AUS","POP","TOT","MLN_PER","A","1968",12.008635,
"AUS","POP","TOT","MLN_PER","A","1969",12.263014,
"AUS","POP","TOT","MLN_PER","A","1970",12.507349,
"AUS","POP","TOT","MLN_PER","A","1971",13.067265,
"AUS","POP","TOT","MLN_PER","A","1972",13.303664,
"AUS","POP","TOT","MLN_PER","A","1973",13.504538,
"AUS","POP","TOT","MLN_PER","A","1974",13.722571,
"AUS","POP","TOT","MLN_PER","A","1975",13.892995,
"AUS","POP","TOT","MLN_PER","A","1976",14.033083,
"AUS","POP","TOT","MLN_PER","A","1977",14.192234,
"AUS","POP","TOT","MLN_PER","A","1978",14.359255,
"AUS","POP","TOT","MLN_PER","A","1979",14.515729,
"AUS","POP","TOT","MLN_PER","A","1980",14.695356,
"AUS","POP","TOT","MLN_PER","A","1981",14.92326,
"AUS","POP","TOT","MLN_PER","A","1982",15.184247,
"AUS","POP","TOT","MLN_PER","A","1983",15.393472,
"AUS","POP","TOT","MLN_PER","A","1984",15.579391,
"AUS","POP","TOT","MLN_PER","A","1985",15.788312,
"AUS","POP","TOT","MLN_PER","A","1986",16.01835,
"AUS","POP","TOT","MLN_PER","A","1987",16.263874,
"AUS","POP","TOT","MLN_PER","A","1988",16.532164,
"AUS","POP","TOT","MLN_PER","A","1989",16.814416,
"AUS","POP","TOT","MLN_PER","A","1990",17.065128,
"AUS","POP","TOT","MLN_PER","A","1991",17.284036,
"AUS","POP","TOT","MLN_PER","A","1992",17.478635,
"AUS","POP","TOT","MLN_PER","A","1993",17.634808,
"AUS","POP","TOT","MLN_PER","A","1994",17.805468,
"AUS","POP","TOT","MLN_PER","A","1995",18.004882,
"AUS","POP","TOT","MLN_PER","A","1996",18.224767,
"AUS","POP","TOT","MLN_PER","A","1997",18.423037,
"AUS","POP","TOT","MLN_PER","A","1998",18.607584,
"AUS","POP","TOT","MLN_PER","A","1999",18.812264,
"AUS","POP","TOT","MLN_PER","A","2000",19.028802,
"AUS","POP","TOT","MLN_PER","A","2001",19.274701,
"AUS","POP","TOT","MLN_PER","A","2002",19.49521,
"AUS","POP","TOT","MLN_PER","A","2003",19.720737,
"AUS","POP","TOT","MLN_PER","A","2004",19.932722,
"AUS","POP","TOT","MLN_PER","A","2005",20.176844,
"AUS","POP","TOT","MLN_PER","A","2006",20.450966,
"AUS","POP","TOT","MLN_PER","A","2007",20.827622,
"AUS","POP","TOT","MLN_PER","A","2008",21.249199,
"AUS","POP","TOT","MLN_PER","A","2009",21.691653,
"AUS","POP","TOT","MLN_PER","A","2010",22.03175,
"AUS","POP","TOT","MLN_PER","A","2011",22.340024,
"AUS","POP","TOT","MLN_PER","A","2012",22.733465,
"AUS","POP","TOT","MLN_PER","A","2013",23.128129,
"AUS","POP","TOT","MLN_PER","A","2014",23.475686,
"AUS","POP","TOT","MLN_PER","A","2015",23.815995,
"AUS","POP","TOT","MLN_PER","A","2016",24.190907,
"AUS","POP","TOT","MLN_PER","A","2017",24.60186,
"AUS","POP","TOT","MLN_PER","A","2018",24.982688,
"AUS","POP","TOT","MLN_PER","A","2019",25.365745,
"AUS","POP","TOT","MLN_PER","A","2020",25.698093,
"AUT","POP","TOT","MLN_PER","A","1950",6.9351,
"AUT","POP","TOT","MLN_PER","A","1951",6.935451,
"AUT","POP","TOT","MLN_PER","A","1952",6.927772,
"AUT","POP","TOT","MLN_PER","A","1953",6.932483,
"AUT","POP","TOT","MLN_PER","A","1954",6.940209,
"AUT","POP","TOT","MLN_PER","A","1955",6.946885,
"AUT","POP","TOT","MLN_PER","A","1956",6.952359,
"AUT","POP","TOT","MLN_PER","A","1957",6.96586,
"AUT","POP","TOT","MLN_PER","A","1958",6.987358,
"AUT","POP","TOT","MLN_PER","A","1959",7.014331,
"AUT","POP","TOT","MLN_PER","A","1960",7.047539,
"AUT","POP","TOT","MLN_PER","A","1961",7.086299,
"AUT","POP","TOT","MLN_PER","A","1962",7.129864,
"AUT","POP","TOT","MLN_PER","A","1963",7.175811,
"AUT","POP","TOT","MLN_PER","A","1964",7.223801,
"AUT","POP","TOT","MLN_PER","A","1965",7.270889,
"AUT","POP","TOT","MLN_PER","A","1966",7.322066,
"AUT","POP","TOT","MLN_PER","A","1967",7.376998,
"AUT","POP","TOT","MLN_PER","A","1968",7.415403,
"AUT","POP","TOT","MLN_PER","A","1969",7.441055,
"AUT","POP","TOT","MLN_PER","A","1970",7.467086,
"AUT","POP","TOT","MLN_PER","A","1971",7.500482,
"AUT","POP","TOT","MLN_PER","A","1972",7.544201,
"AUT","POP","TOT","MLN_PER","A","1973",7.586115,
"AUT","POP","TOT","MLN_PER","A","1974",7.599038,
"AUT","POP","TOT","MLN_PER","A","1975",7.578903,
"AUT","POP","TOT","MLN_PER","A","1976",7.565525,
"AUT","POP","TOT","MLN_PER","A","1977",7.56843,
"AUT","POP","TOT","MLN_PER","A","1978",7.562305,
"AUT","POP","TOT","MLN_PER","A","1979",7.549425,
"AUT","POP","TOT","MLN_PER","A","1980",7.549433,
"AUT","POP","TOT","MLN_PER","A","1981",7.56871,
"AUT","POP","TOT","MLN_PER","A","1982",7.57414,
"AUT","POP","TOT","MLN_PER","A","1983",7.56191,
"AUT","POP","TOT","MLN_PER","A","1984",7.561434,
"AUT","POP","TOT","MLN_PER","A","1985",7.564984,
"AUT","POP","TOT","MLN_PER","A","1986",7.569794,
"AUT","POP","TOT","MLN_PER","A","1987",7.574586,
"AUT","POP","TOT","MLN_PER","A","1988",7.585317,
"AUT","POP","TOT","MLN_PER","A","1989",7.619566,
"AUT","POP","TOT","MLN_PER","A","1990",7.67785,
"AUT","POP","TOT","MLN_PER","A","1991",7.754891,
"AUT","POP","TOT","MLN_PER","A","1992",7.840709,
"AUT","POP","TOT","MLN_PER","A","1993",7.905632,
"AUT","POP","TOT","MLN_PER","A","1994",7.936118,
"AUT","POP","TOT","MLN_PER","A","1995",7.948278,
"AUT","POP","TOT","MLN_PER","A","1996",7.959016,
"AUT","POP","TOT","MLN_PER","A","1997",7.968041,
"AUT","POP","TOT","MLN_PER","A","1998",7.976789,
"AUT","POP","TOT","MLN_PER","A","1999",7.992323,
"AUT","POP","TOT","MLN_PER","A","2000",8.011566,
"AUT","POP","TOT","MLN_PER","A","2001",8.042293,
"AUT","POP","TOT","MLN_PER","A","2002",8.082121,
"AUT","POP","TOT","MLN_PER","A","2003",8.118245,
"AUT","POP","TOT","MLN_PER","A","2004",8.169441,
"AUT","POP","TOT","MLN_PER","A","2005",8.225278,
"AUT","POP","TOT","MLN_PER","A","2006",8.267948,
"AUT","POP","TOT","MLN_PER","A","2007",8.295189,
"AUT","POP","TOT","MLN_PER","A","2008",8.321541,
"AUT","POP","TOT","MLN_PER","A","2009",8.341483,
"AUT","POP","TOT","MLN_PER","A","2010",8.361069,
"AUT","POP","TOT","MLN_PER","A","2011",8.388534,
"AUT","POP","TOT","MLN_PER","A","2012",8.426311,
"AUT","POP","TOT","MLN_PER","A","2013",8.47723,
"AUT","POP","TOT","MLN_PER","A","2014",8.543932,
"AUT","POP","TOT","MLN_PER","A","2015",8.629519,
